M/W,Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET,VS_SET,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
Men,2026,6,2026/6/21,A,Preliminary,Amdavad,India,Bahrain,New Zealand,3,0,25,25,25,-,-,19,21,16,-,-,3,19,15,4,0,-,15,2,7,24,4,3,2,9,0,6,18,24,10,0,5,15,11,2,19,5,0,20,25
Men,2026,7,2026/6/21,B,Preliminary,Amdavad,India,Qatar,Thailand,3,0,25,25,25,-,-,23,23,17,-,-,ALL,58,47,8,3,-,47,7,40,94,8,26,26,60,3,8,63,74,24,2,31,57,35,12,59,19,1,77,97
Men,2026,7,2026/6/21,B,Preliminary,Amdavad,India,Qatar,Thailand,3,0,25,25,25,-,-,23,23,17,-,-,1,20,17,3,0,-,17,2,14,33,3,12,8,23,0,2,23,25,9,0,13,22,10,5,20,6,0,28,34
Men,2026,7,2026/6/21,B,Preliminary,Amdavad,India,Qatar,Thailand,3,0,25,25,25,-,-,23,23,17,-,-,2,22,18,3,1,-,18,5,18,41,3,6,13,22,1,2,21,24,9,1,14,24,16,6,26,8,0,34,42
Men,2026,7,2026/6/21,B,Preliminary,Amdavad,India,Qatar,Thailand,3,0,25,25,25,-,-,23,23,17,-,-,3,16,12,2,2,-,12,0,8,20,2,8,5,15,2,4,19,25,6,1,4,11,9,1,13,5,1,15,21
Men,2026,7,2026/6/21,B,Preliminary,Amdavad,India,Thailand,Qatar,0,3,23,23,17,-,-,25,25,25,-,-,ALL,47,43,2,2,-,43,14,39,96,2,16,20,38,2,7,55,64,29,3,34,66,37,14,59,4,2,93,99
Men,2026,7,2026/6/21,B,Preliminary,Amdavad,India,Thailand,Qatar,0,3,23,23,17,-,-,25,25,25,-,-,1,19,19,0,0,-,19,5,11,35,0,7,8,15,0,1,22,23,9,0,14,23,13,7,24,2,1,34,37
Men,2026,7,2026/6/21,B,Preliminary,Amdavad,India,Thailand,Qatar,0,3,23,23,17,-,-,25,25,25,-,-,2,17,14,2,1,-,14,5,18,37,2,4,8,14,1,0,23,24,12,1,9,22,18,5,26,0,1,37,38
Men,2026,7,2026/6/21,B,Preliminary,Amdavad,India,Thailand,Qatar,0,3,23,23,17,-,-,25,25,25,-,-,3,11,10,0,1,-,10,4,10,24,0,5,4,9,1,6,10,17,8,2,11,21,6,2,9,2,0,22,24
Men,2026,8,2026/6/21,B,Preliminary,Amdavad,India,Korea,Indonesia,3,0,25,25,25,-,-,22,22,21,-,-,ALL,52,40,6,6,-,40,13,30,83,6,13,8,27,6,11,57,74,19,3,33,55,31,13,55,17,0,66,83
Men,2026,8,2026/6/21,B,Preliminary,Amdavad,India,Korea,Indonesia,3,0,25,25,25,-,-,22,22,21,-,-,1,15,12,1,2,-,12,5,10,27,1,3,2,6,2,5,18,25,3,1,15,19,10,2,15,4,0,23,27
Men,2026,8,2026/6/21,B,Preliminary,Amdavad,India,Korea,Indonesia,3,0,25,25,25,-,-,22,22,21,-,-,2,16,13,3,0,-,13,2,12,27,3,4,3,10,0,3,21,24,6,1,10,17,9,8,22,8,0,18,26
Men,2026,8,2026/6/21,B,Preliminary,Amdavad,India,Korea,Indonesia,3,0,25,25,25,-,-,22,22,21,-,-,3,21,15,2,4,-,15,6,8,29,2,6,3,11,4,3,18,25,10,1,8,19,12,3,18,5,0,25,30
Men,2026,8,2026/6/21,B,Preliminary,Amdavad,India,Indonesia,Korea,0,3,22,22,21,-,-,25,25,25,-,-,ALL,45,37,5,3,-,37,15,32,84,5,18,11,34,3,11,52,66,16,6,41,63,28,14,53,18,2,66,86
Men,2026,8,2026/6/21,B,Preliminary,Amdavad,India,Indonesia,Korea,0,3,22,22,21,-,-,25,25,25,-,-,1,14,11,2,1,-,11,7,9,27,2,5,4,11,1,3,18,22,5,2,13,20,7,5,17,6,0,20,26
Men,2026,8,2026/6/21,B,Preliminary,Amdavad,India,Indonesia,Korea,0,3,22,22,21,-,-,25,25,25,-,-,2,18,16,1,1,-,16,5,12,33,1,5,3,9,1,6,16,23,6,0,15,21,14,6,24,10,1,24,35
