M/W,Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Player NoNo,Player NamePlayer,C,PositionPos.,Total ABSABS,Attack PointsA Pts,Block PointsB Pts,Serve PointsS Pts,ErrorsErr,Efficiency %Eff,PointPt,ErrorsErr,AttemptsAtt,TotalTot.,Efficiency %Eff,PointPt,ErrorsErr,TouchesTouches,TotalTot.,Efficiency %Eff,PointPt,ErrorsErr,AttemptsAtt,TotalTot.,Efficiency %Eff,SuccessfulSuccessful,ErrorsErr,AttemptsAtt,TotalTot.,Efficiency %Eff,DigsDig,ErrorsErr,TotalTot.,Efficiency %Eff,PointPt,ErrorsErr,AttemptsAtt,TotalTot.,Efficiency %Eff
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,New Zealand,Iran,0,3,15,12,22,-,-,25,25,25,-,-,ALL,6,Corson,-,MB,4,2,1,1,-,-17.65,2,1,2,5,20,1,4,1,6,-50,1,2,3,6,-16.67,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,New Zealand,Iran,0,3,15,12,22,-,-,25,25,25,-,-,ALL,7,Hulston,-,S,2,0,1,1,-,28.57,0,0,0,0,-,1,0,0,1,100,1,0,5,6,16.67,0,0,0,0,-,0,1,1,-100,8,4,29,41,9.76
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,New Zealand,Iran,0,3,15,12,22,-,-,25,25,25,-,-,ALL,8,Julian,-,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,1,1,0,0,1,1,-100,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,New Zealand,Iran,0,3,15,12,22,-,-,25,25,25,-,-,ALL,9,Vesty,-,S,0,0,0,0,-,-33.33,0,0,0,0,-,0,1,1,2,-50,0,1,3,4,-25,0,0,0,0,-,0,0,1,0,7,0,22,29,24.14
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,New Zealand,Iran,0,3,15,12,22,-,-,25,25,25,-,-,ALL,10,Maxwell,-,MB,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,New Zealand,Iran,0,3,15,12,22,-,-,25,25,25,-,-,ALL,11,McManaway,-,OH,10,8,2,0,-,24,8,1,3,12,58.33,2,1,2,5,20,0,2,6,8,-25,9,0,12,21,42.86,0,1,2,-50,0,0,3,3,0
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,New Zealand,Iran,0,3,15,12,22,-,-,25,25,25,-,-,ALL,14,Grant,-,O,12,10,1,1,-,9.38,10,4,9,23,26.09,1,0,0,1,100,1,5,2,8,-50,0,1,0,1,-100,1,2,3,-33.33,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,New Zealand,Iran,0,3,15,12,22,-,-,25,25,25,-,-,ALL,21,Black,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,New Zealand,Iran,0,3,15,12,22,-,-,25,25,25,-,-,ALL,22,Gough,-,MB,4,3,1,0,-,-5.88,3,1,2,6,33.33,1,4,0,5,-60,0,0,6,6,0,1,0,0,1,100,1,0,4,25,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,New Zealand,Iran,0,3,15,12,22,-,-,25,25,25,-,-,ALL,23,Smith,-,OH,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,New Zealand,Iran,0,3,15,12,22,-,-,25,25,25,-,-,1,1,Hulston,C,L,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,2,1,2,5,20,0,2,2,-100,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,New Zealand,Iran,0,3,15,12,22,-,-,25,25,25,-,-,1,3,Placid,-,OH,4,3,1,0,-,-8.33,3,3,1,7,0,1,0,1,2,50,0,2,1,3,-66.67,4,0,6,10,40,0,1,1,-100,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,New Zealand,Iran,0,3,15,12,22,-,-,25,25,25,-,-,1,4,Westrupp,-,O,0,0,0,0,-,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,0,-,0,0,0,-,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,New Zealand,Iran,0,3,15,12,22,-,-,25,25,25,-,-,1,5,Malcolm,-,MB,0,0,0,0,-,-25,0,0,1,1,0,0,0,0,0,-,0,1,2,3,-33.33,0,0,0,0,-,1,0,1,100,0,0,0,0,-
Men,2026,1,2026/9/4,B,Preliminary,Fukuoka,Japan,New Zealand,Iran,0,3,15,12,22,-,-,25,25,25,-,-,1,6,Corson,-,MB,2,1,1,0,-,20,1,0,1,2,50,1,0,0,1,100,0,1,1,2,-50,0,0,0,0,-,0,0,0,-,0,0,0,0,-
